========POTENTIAL SUMMARIES========
POTENTIAL AA
arg          val          deriv       
  0.0000e+00  1.0000e+300 -1.0000e+300
  5.0000e-02   4.2468e-01  -1.0617e-02
  1.0000e-01   4.2389e-01  -2.1194e-02
  1.5000e-01   4.2257e-01  -3.1692e-02
  2.0000e-01   4.2072e-01  -4.2072e-02
  2.5000e-01   4.1836e-01  -5.2295e-02
  3.0000e-01   4.1550e-01  -6.2324e-02
  3.5000e-01   4.1213e-01  -7.2123e-02
  4.0000e-01   4.0829e-01  -8.1657e-02
  4.5000e-01   4.0397e-01  -9.0894e-02
  5.0000e-01   3.9920e-01  -9.9801e-02
  5.5000e-01   3.9400e-01  -1.0835e-01
  6.0000e-01   3.8838e-01  -1.1651e-01
  6.5000e-01   3.8235e-01  -1.2427e-01
  7.0000e-01   3.7596e-01  -1.3158e-01
  7.5000e-01   3.6920e-01  -1.3845e-01
  8.0000e-01   3.6212e-01  -1.4485e-01
  8.5000e-01   3.5473e-01  -1.5076e-01
  9.0000e-01   3.4705e-01  -1.5617e-01
  9.5000e-01   3.3912e-01  -1.6108e-01
  1.0000e+00   3.3095e-01  -1.6548e-01
  1.0500e+00   3.2258e-01  -1.6935e-01
  1.1000e+00   3.1402e-01  -1.7271e-01
  1.1500e+00   3.0532e-01  -1.7556e-01
  1.2000e+00   2.9648e-01  -1.7789e-01
  1.2500e+00   2.8754e-01  -1.7971e-01
  1.3000e+00   2.7851e-01  -1.8103e-01
  1.3500e+00   2.6944e-01  -1.8187e-01
  1.4000e+00   2.6034e-01  -1.8223e-01
  1.4500e+00   2.5122e-01  -1.8214e-01
  1.5000e+00   2.4213e-01  -1.8160e-01
  1.5500e+00   2.3307e-01  -1.8063e-01
  1.6000e+00   2.2407e-01  -1.7926e-01
  1.6500e+00   2.1515e-01  -1.7750e-01
  1.7000e+00   2.0633e-01  -1.7538e-01
  1.7500e+00   1.9762e-01  -1.7292e-01
  1.8000e+00   1.8904e-01  -1.7014e-01
  1.8500e+00   1.8061e-01  -1.6707e-01
  1.9000e+00   1.7234e-01  -1.6372e-01
  1.9500e+00   1.6424e-01  -1.6014e-01
  2.0000e+00   1.5633e-01  -1.5633e-01
  2.0500e+00   1.4861e-01  -1.5233e-01
  2.1000e+00   1.4110e-01  -1.4816e-01
  2.1500e+00   1.3380e-01  -1.4384e-01
  2.2000e+00   1.2672e-01  -1.3939e-01
  2.2500e+00   1.1986e-01  -1.3485e-01
  2.3000e+00   1.1324e-01  -1.3022e-01
  2.3500e+00   1.0684e-01  -1.2554e-01
  2.4000e+00   1.0068e-01  -1.2082e-01
  2.4500e+00   9.4760e-02  -1.1608e-01
  2.5000e+00   8.9074e-02  -1.1134e-01
  2.5500e+00   8.3625e-02  -1.0662e-01
  2.6000e+00   7.8412e-02  -1.0194e-01
  2.6500e+00   7.3431e-02  -9.7296e-02
  2.7000e+00   6.8681e-02  -9.2719e-02
  2.7500e+00   6.4158e-02  -8.8217e-02
  2.8000e+00   5.9858e-02  -8.3801e-02
  2.8500e+00   5.5776e-02  -7.9481e-02
  2.9000e+00   5.1908e-02  -7.5266e-02
  2.9500e+00   4.8248e-02  -7.1165e-02
  3.0000e+00   4.4789e-02  -6.7184e-02
  3.0500e+00   4.1527e-02  -6.3329e-02
  3.1000e+00   3.8454e-02  -5.9604e-02
  3.1500e+00   3.5564e-02  -5.6014e-02
  3.2000e+00   3.2851e-02  -5.2561e-02
  3.2500e+00   3.0306e-02  -4.9247e-02
  3.3000e+00   2.7924e-02  -4.6074e-02
  3.3500e+00   2.5696e-02  -4.3041e-02
  3.4000e+00   2.3617e-02  -4.0149e-02
  3.4500e+00   2.1679e-02  -3.7396e-02
  3.5000e+00   1.9875e-02  -3.4782e-02
  3.5500e+00   1.8199e-02  -3.2303e-02
  3.6000e+00   1.6643e-02  -2.9957e-02
  3.6500e+00   1.5201e-02  -2.7741e-02
  3.7000e+00   1.3866e-02  -2.5653e-02
  3.7500e+00   1.2633e-02  -2.3688e-02
  3.8000e+00   1.1496e-02  -2.1842e-02
  3.8500e+00   1.0447e-02  -2.0111e-02
  3.9000e+00   9.4827e-03  -1.8491e-02
  3.9500e+00   8.5964e-03  -1.6978e-02
  4.0000e+00   7.7832e-03  -1.5566e-02
  4.0500e+00   7.0382e-03  -1.4252e-02
  4.1000e+00   6.3565e-03  -1.3031e-02
  4.1500e+00   5.7336e-03  -1.1897e-02
  4.2000e+00   5.1653e-03  -1.0847e-02
  4.2500e+00   4.6476e-03  -9.8761e-03
  4.3000e+00   4.1765e-03  -8.9795e-03
  4.3500e+00   3.7485e-03  -8.1529e-03
  4.4000e+00   3.3601e-03  -7.3922e-03
  4.4500e+00   3.0082e-03  -6.6933e-03
  4.5000e+00   2.6898e-03  -6.0521e-03
  4.5500e+00   2.4021e-03  -5.4648e-03
  4.6000e+00   2.1425e-03  -4.9277e-03
  4.6500e+00   1.9086e-03  -4.4374e-03
  4.7000e+00   1.6980e-03  -3.9904e-03
  4.7500e+00   1.5088e-03  -3.5835e-03
  4.8000e+00   1.3391e-03  -3.2138e-03
  4.8500e+00   1.1869e-03  -2.8782e-03
  4.9000e+00   1.0507e-03  -2.5743e-03
  4.9500e+00   9.2899e-04  -2.2993e-03


POTENTIAL BB
arg          val          deriv       
  0.0000e+00  1.0000e+300 -1.0000e+300
  5.0000e-02   4.2468e-01  -1.0617e-02
  1.0000e-01   4.2389e-01  -2.1194e-02
  1.5000e-01   4.2257e-01  -3.1692e-02
  2.0000e-01   4.2072e-01  -4.2072e-02
  2.5000e-01   4.1836e-01  -5.2295e-02
  3.0000e-01   4.1550e-01  -6.2324e-02
  3.5000e-01   4.1213e-01  -7.2123e-02
  4.0000e-01   4.0829e-01  -8.1657e-02
  4.5000e-01   4.0397e-01  -9.0894e-02
  5.0000e-01   3.9920e-01  -9.9801e-02
  5.5000e-01   3.9400e-01  -1.0835e-01
  6.0000e-01   3.8838e-01  -1.1651e-01
  6.5000e-01   3.8235e-01  -1.2427e-01
  7.0000e-01   3.7596e-01  -1.3158e-01
  7.5000e-01   3.6920e-01  -1.3845e-01
  8.0000e-01   3.6212e-01  -1.4485e-01
  8.5000e-01   3.5473e-01  -1.5076e-01
  9.0000e-01   3.4705e-01  -1.5617e-01
